REFERENCIA;PRECIO;PRODUCTO
10001;5300;ABACO ABIERTO COLOR TINTA Y TRAZO                 
10003;5600;ABACO PEQUE•O L AZUL                              
10004;7700;ABACO P•O CON TABLERO L AZUL                      
10005;229900;PINTURA INVECRYL CUBIEERTAS Y TERRAZAS X5G BL INVESA          
10006;4400;ABACO VERTICAL PROYECCION PLAST                   
10007;16700;BASTIDOR GR 40X50 AR1151 CLARK               
10008;13600;BASTIDOR MED 30X40 AR1150 CLARK               
10010;7900;FILIGRAMAS ESTUCHE X4 HERNANDO V                  
10011;1000;PAPEL FILIGRAMA 49 X0 3 NESSAN                    
10012;1200;PAPEL FILIGRAMA 49 X0 5 NESSAN                    
10013;1600;PAPEL FILIGRAMA 49 X0 8 NESSAN                    
10016;2300;PAPEL ORIGAMY PEQUE•O X120H NESSAN                
10018;1100;PLUMILLA T CHINA X100 SCHOOL OFFICE               
10019;1100;PLUMILLA TNTA CHINA                          
10020;1600;PUNZON METALICO ESCOLAR ORLANDO                   
10022;300;PUNZON PLASTICO MORRISON                          
10023;6800;REPUJADOR ESTUCHE X6 STDO                         
10024;11400;REPUJADOR TARJETERIA PERGAM X5 ORLANDO E          
10025;7800;TABLA ACRILICA FOMY JHON LEON                     
10026;3300;BOLIGRAFO GEL BORRABLE RT 026 OFFIESCO               
10027;7500;TABLA ACRILICA PUNZADO MERCEDEZ D            
10028;1600;TABLA BLANCA CON-HUECO MERCEDEZ D                 
10029;2600;TABLA BLANCA S-HUECO MERCEDEZ D                   
10030;1600;TABLA DIDACTICA COLORS JJ SPORT                   
10031;2600;TABLA MADERA PLASTILINA JHON LEON                 
10032;3400;TABLA PICADO IND PAPELERA                         
10033;5700;TABLA PICAR ACRILICA IND PAPELERA                 
10034;1700;TABLA PLASTICA MDF NATURAL IND PAPELERA           
10035;2600;TABLA PUNZADO C HUECO HERNANDO                    
10037;4100;TABLA PUNZADO FOMY J F L                          
10038;4100;TABLA PUNZADO MERCEDEZ D                          
10039;5900;REPUJADOR TARJETERIA N,2 X3 ORLANDO E             
10041;4600;LAMINA BALSO 2 X100 BALCO                         
10042;2000;LAMINA BALSO 2 X50 BALCO                          
10043;5100;LAMINA BALSO 3 X100 BALCO                         
10045;2300;LAMINA BALSO 3 X50 BALCO                          
10046;3400;LAMINA BALSO 3 X75 BALCO                          
10047;5500;LAMINA BALSO 4 X100 BALCO                         
10048;700;PALETA PLASTICA BLANCA FRANCO
10050;2400;LAMINA BALSO 4 X50 BALCO                          
10052;2600;LAMINA BALSO 5 X50 BALCO                          
10053;900;VARITA BALSO C 10X10 BALCO                        
10054;1200;VARITA BALSO C 12X12 BALCO                        
10055;1600;VARITA BALSO C 15X15 BALCO                        
10056;2400;VARITA BALSO C 20X20 BALCO                        
10057;3400;VARITA BALSO C 25X25 BALCO                        
10058;400;VARITA BALSO C 3X3 BALCO                          
10059;500;VARITA BALSO C 4X4 BALCO                          
10060;600;VARITA BALSO C 5X5 BALCO                          
10061;700;VARITA BALSO C 6X6 BALCO                          
10062;800;VARITA BALSO C 8X8 BALCO                          
10063;1800;VARITA BALSO R 006 BALCO                          
10064;2200;VARITA BALSO R 008 BALCO                          
10065;2600;VARITA BALSO R 010 BALCO                          
10066;2900;VARITA BALSO R 012 BALCO                          
10067;3700;VARITA BALSO R 015 BALCO                          
10068;4400;VARITA BALSO R 020 BALCO                          
10069;5000;VARITA BALSO R 025 BALCO                          
10070;1100;BLOCK 1/2 CTA BLANCO X50 BOND N T O               
10071;1100;BLOCK 1/2 CTA CUADROS X50 BOND N T O              
10072;1300;BLOCK 1/2 CTA DEGRADE X40H IND PAPELERO           
10073;1100;BLOCK 1/2 CTA RAY X50 BOND N T O                  
10075;1600;BLOCK AMA 1/2 CARTA RAYAS IND PAPELERA            
10076;3100;BLOCK AMA CARTA CUADROS FABRIESCOF         
10078;2000;BLOCK ANALISIS 3COL X50H EL CID                   
10080;2000;BLOCK ANOTA AMA 1/2 CTA R2 X50H 500941 NORMA      
10081;3000;BLOCK ANOTACION AMA CTA R1 X50H 500037 NORMA      
10082;3400;BLOCK ANOTACION AMA CTA R2 X50H 500749 NORMA      
10083;4300;BLOCK B 28 1/4 X20H BLANCO NESSAN                 
10084;2500;BLOCK B 28 1/8 X20H BLANCO NESSAN                 
10085;4400;BLOCK B 28 A3 BLANCO X20 NESSAN                   
10087;2200;BLOCK MILIM 1/8 HORIZ  X20 N T O                 
10088;500;BOLIGRAFO SEMI-GEL 0.7 071F OFFIESCO           
10089;1400;SACAPUNTA DOBLE AGUJERO CILIN SH-17504 POINTER
10090;6100;PORTA LAPIZ  MALLA REDONDO COLORES GIPAO
10091;8200;BLOCK BOND 115GR BAS 30 1/4 X20H ICOPEL           
10093;4300;BLOCK BOND 115GR BASE 30 1/8 X20H ICOPEL          
10094;7200;BLOCK BOND 115GR FORM-HORIZ A3 X20H ICOPEL        
10096;2900;BLOCK MANTEQUILLA 1/8 X35 ARTISAN           
10097;6800;BLOCK BOND BASE 30 1/4 115GR ICOPEL               
10098;2200;BLOCK CANARIO 1/2 CTA X50H ARG R-1 FABRIFOLDER    
10099;2900;BLOCK CANARIO 1/2 CTA X50H ARG R-2 FABRIFOLDER    
10100;1800;BLOCK CANARIO 1/2 CTA X50H GRAP R-1 FABRIFOLDER   
10101;1900;BLOCK CANARIO 1/2 CTA X50H GRAP R-2 FABRIFOLDER   
10102;3300;BLOCK CANARIO CTA X50H ARG R-1 FABRIFOLDER        
10103;3200;BLOCK CANARIO CTA X50H ARG R-2 FABRIFOLDER        
10104;3200;BLOCK CANARIO CTA X50H GRAP R-2 FABRIFOLDER       
10105;15300;BLOCK CONSTRUCCION 30X23 534903 NORMA             
10106;3500;BLOCK OFICIO 70H BOND R-1 R-2 SCRIBE       
10107;3000;BLOCK CARTA 70H BOND R-1 R-2 IMAGEN NORMA         
10112;3700;BLOCK CTA DEGRADE 178 PRIMAVERA                  
10113;3200;BLOCK CTA DEGRADE FABRIESCOF                     
10114;4700;BLOCK CTA FLUORECENTE 179 PRIMAVERA               
10115;2900;BLOCK CTA FLUORECENTE IND PAPELERA                
10116;3700;BLOCK CARTA IRIS 180 PRIMAVERA                      
10117;3200;BLOCK CTA IRIS 40H FABRIESCOF                         
10118;2000;BLOCK DIN A-4 F VERTICAL X20H FABRIFOLDER                        
10119;5100;BLOCK CTA IRIS X35H ICOPEL                        
10120;1500;BOLIGRAFO ROLLER 0.7 020 OFFIESCO         
10122;12800;KIT GEMELOS 60ML FRANCO         
10125;2900;BLOCK DIN A-4 F HORIZ X20 NESSAN                  
10126;7500;BLOCK EDAD MED ESCOL 1/4 X20H ICOPEL              
10127;3800;BLOCK EDAD MED ESCOL 1/8 X20H ICOPEL              
10128;3400;BLOCK EDAD MEDIA 1/4X20H NESSAN                   
10129;2300;BLOCK EDAD MEDIA 1/8 X20H FABRIESCOF              
10130;1800;BLOCK EDAD MEDIA 1/8X20H NESSAN                   
10132;2200;BLOCK FORMATO 25X35 MARCADO X20H D Q C            
10133;2200;BLOCK FORMATO 25X35 MILIM X20H D Q C              
10134;1700;BLOCK FORMATO A-4 BLANCO X20H D Q C               
10136;3800;BLOCK FORMATO A-4 MILIMETRADA X20H D Q C          
10137;1900;BLOCK LOGARITMICO CARTA FABRIESCOF                
10138;1600;BLOCK LOGARITMICO CTA X20H NESSAN                 
10140;2000;BLOCK MILIMETRADO CTA X50 BOND N T O              
10141;3400;BLOCK MILIMETRADO CTA X50H NESSAN                 
10143;2700;BLOCK MILIMETRADO OFICIO X50 FABRIFOLDER          
10144;2400;BLOCK MILIMETRADO OFICIO X50 BOND N T O           
10146;1500;BLOCK MULTICOLOR 1/2 CTA IND PAPELERA             
10147;3500;BLOCK OFICIO 70H BOND R-1 R-2 FABRIFOLDER              
10149;1500;SACAGANCHO DL228 CLARK        
10152;3600;BLOCK OFICIO IRIS-DEGRADE X40H FABRIESCOF                
10153;5700;BLOCK OFICIO IRIS X30H ICOPEL                     
10155;2800;BLOCK OFICIO J BOOK 80H BON R-1 R-2 NORMA      
10157;2700;BLOCK ORIGAMY 15X15 50H NESSAN                    
10159;2200;BLOCK ORIGAMY PEQUE•O X120H NESSAN                
10160;4400;BLOCK PERGAMINO CANSON 45GR CTA X30 HOJAS ICOPEL  
10161;4600;BLOCK PERGAMINO CANSON 45GR OFIC X30 HOJAS ICOPEL 
10164;1400;BLOCK PERIODICO CTA X50H D Q C                    
10166;1300;BLOCK PERIODICO OFICIO X50H D Q C                 
10167;1000;BLOCK PLACHA A-4 MILIMETRADO X20H RAIRAN          
10168;1700;BLOCK PLEGADO 15X15 FABRIESCO                               
10170;2300;BLOCK PLEGADO 20X20 FABRIESCO                            
10171;1700;BLOCK PLEGADO 15X15 20H ICOPEL               
10172;23900;BLOCK TEXTURA 534905 NORMA                        
10173;2400;PAPEL DEGRADE 1/4 IND PAPELERA                    
10176;900;CARTULINA DEGRADE 1/8 X8 IND, PAPELERA            
10177;2800;BLOCK MANTEQUILLA OFICIO X35 ARTISAN          
10178;1400;BLOCK SEMI-LOGARITMICO CTA X20H NESSAN            
10181;161200;ROLLO BOLSA PUBLICIDAD 14X20 16.1 KILOS        
10182;1500;BOLIGRAFO 062 COLOR STDO FABER C                       
10183;211700;ROLLO BOLSA PUBLICIDAD 10X16 14.6 KILOS                 
10184;1200;PORTAMINA 0.7 157 OFFIESCO
10186;30100;BOLIGRAFO 55 FIESTA E-11 INOXCROM 700024          
10187;25600;BOLIGRAFO 55 M SDO E-11 DE 12 INOXCROM 077060     
10188;10300;PLANILLERO PLASTICO CON TAPA 836 OFFIESCO   
10189;3300;NYLON 0.45MM-20 LBS CLARK
10190;1400;BOLIGRAFO GELM0.7 ENCAUCHETADO G-539 MEGA         
10191;600;BOLIGRAFO RETRACTIL 1.0 SEMIGEL STDO 047 OFFIESCO
10192;500;BOLIGRAFO KM INKJOY 100 PUNTA FINA STDO               
10193;9100;BOLIGRAFO GEL ESCARCHADO X10 164 OFFIESCO          
10194;700;BOLIGRAFO PM INKJOY ESTAMP-UNIC100 RT STDO    
10195;2800;BOLIGRAFO PAPER MATE BORRABLE NEGRO-ROJO      
10198;207400;ROLLO BOLSA PUBLICIDAD 18X30 14.3 KILOS ...               
10199;900;BOLIGRAFO BIC BU3 GRIP FASHION STDO                  
10203;219050;ROLLO BOLSA PUBLICIDAD 18X30 15.1K KILOS            
10204;700;BOLIGRAFO BIC CLIC STDO RF 1100135                 
10205;221950;ROLLO BOLSA PUBLICIDAD 18X30 15.3 KILOS               
10206;700;BOLIGRAFO BIC CRISTAL UP MIX 1 2MM RF 6951        
10207;300;BOLIGRAFO BIC SOF 1,2 AZUL                        
10209;300;BOLIGRAFO BIC SOF 1,2 ROJO                        
10210;600;BOLIGRAFO BIC DIAMANTE STDO                       
10211;71500;NUMERADOR KW TRIO 02060 CLARK                       
10212;500;BOLIGRAFO BIC DURA+ COLOR STDO                         
10215;150800;ROLLO BOLSA PUBLICIDAD 18X30 10.4 KILOS           
